Time:0.0357311 Coverage:0.0488655
Time:5.14406 Coverage:0.0743067
Time:5.60161 Coverage:0.084707
Time:6.08303 Coverage:0.09957
Time:6.58391 Coverage:0.136716
Time:7.07736 Coverage:0.176168
Time:7.56511 Coverage:0.217268
Time:8.19183 Coverage:0.249437
Time:8.67517 Coverage:0.255498
Time:9.17066 Coverage:0.271194
Time:9.6642 Coverage:0.274384
Time:10.1506 Coverage:0.282465
Time:10.6259 Coverage:0.283774
Time:11.0839 Coverage:0.285487
Time:11.5611 Coverage:0.295222
Time:12.047 Coverage:0.296768
Time:12.5358 Coverage:0.314553
Time:13.3455 Coverage:0.335341
Time:13.6319 Coverage:0.344094
Time:14.1286 Coverage:0.352302
Time:14.6436 Coverage:0.36553
Time:15.1505 Coverage:0.373178
Time:15.6588 Coverage:0.393709
Time:16.1752 Coverage:0.405724
Time:16.6754 Coverage:0.415172
Time:17.1757 Coverage:0.418986
Time:17.6824 Coverage:0.434044
Time:18.2076 Coverage:0.444656
Time:18.7101 Coverage:0.448384
Time:19.2191 Coverage:0.45245
Time:19.5416 Coverage:0.462394
Time:20.0622 Coverage:0.469884
Time:20.3669 Coverage:0.472368
Time:20.6644 Coverage:0.474012
Time:21.1747 Coverage:0.476431
Time:21.6707 Coverage:0.486215
Time:22.1769 Coverage:0.491221
Time:22.6727 Coverage:0.500928
Time:23.2895 Coverage:0.509292
Time:23.802 Coverage:0.514426
Time:24.3109 Coverage:0.517299
Time:24.8565 Coverage:0.524657
Time:25.3977 Coverage:0.534034
Time:25.7417 Coverage:0.535169
Time:26.2648 Coverage:0.539739
Time:26.9291 Coverage:0.54232
Time:27.4545 Coverage:0.542969
Time:27.7621 Coverage:0.544265
Time:28.2831 Coverage:0.547638
Time:28.5966 Coverage:0.549783
Time:29.1078 Coverage:0.55172
Time:29.6203 Coverage:0.555117
Time:30.1177 Coverage:0.558348
Time:30.628 Coverage:0.5604
Time:31.1626 Coverage:0.569888
Time:31.6983 Coverage:0.578325
Time:32.5128 Coverage:0.589332
Time:32.8423 Coverage:0.593434
Time:33.3546 Coverage:0.597772
Time:33.861 Coverage:0.601291
Time:34.3873 Coverage:0.612334
Time:35.3247 Coverage:0.634133
Time:35.8728 Coverage:0.639014
Time:36.2083 Coverage:0.650934
Time:37.0246 Coverage:0.662466
Time:37.5666 Coverage:0.672282
Time:37.9454 Coverage:0.67765
Time:38.3064 Coverage:0.691375
Time:39.7223 Coverage:0.71405
Time:40.2857 Coverage:0.714689
Time:40.8619 Coverage:0.715357
Time:41.4125 Coverage:0.715599
Time:41.9549 Coverage:0.726162
Time:42.5439 Coverage:0.7389
Time:43.0946 Coverage:0.744303
Time:43.6649 Coverage:0.748464
Time:44.2479 Coverage:0.759263
Time:45.0328 Coverage:0.7673
Time:45.5716 Coverage:0.771652
Time:46.1498 Coverage:0.786789
Time:46.7316 Coverage:0.795133
Time:47.2986 Coverage:0.802767
Time:47.6953 Coverage:0.814322
Time:48.2766 Coverage:0.820303
Time:48.8493 Coverage:0.824275
Time:49.4 Coverage:0.835341
Time:50.2611 Coverage:0.856215
Time:50.8539 Coverage:0.863023
Time:51.4385 Coverage:0.866015
Time:52.0082 Coverage:0.875253
Time:52.5693 Coverage:0.88484
Time:52.9567 Coverage:0.888009
Time:53.5265 Coverage:0.890271
Time:54.0955 Coverage:0.893043
Time:54.6584 Coverage:0.896487
Time:55.212 Coverage:0.897998
Time:55.7573 Coverage:0.90006
Time:56.3232 Coverage:0.908276
Time:56.8808 Coverage:0.911198
Time:57.4367 Coverage:0.920536
Time:57.7842 Coverage:0.922013
Time:58.3345 Coverage:0.922882
Time:58.9808 Coverage:0.9234
Time:59.5412 Coverage:0.928094
Time:60.0887 Coverage:0.930487
Time:60.6504 Coverage:0.932859
Time:61.1936 Coverage:0.939756
Time:61.756 Coverage:0.940891
Time:62.3217 Coverage:0.944139
Time:62.7071 Coverage:0.944474
Time:63.2735 Coverage:0.945663
Time:63.8504 Coverage:0.946249
Time:64.4126 Coverage:0.946854
Time:64.9457 Coverage:0.948386
